areaCode,areaName,areaType,date,cumCasesBySpecimenDate,cumDeaths28DaysByPublishDate,newCasesBySpecimenDate
K02000001,United Kingdom,overview,31/03/2022,21216874,165379,29825
K02000001,United Kingdom,overview,30/03/2022,21187049,165187,63462
K02000001,United Kingdom,overview,29/03/2022,21123587,164974,77915
K02000001,United Kingdom,overview,28/03/2022,21045672,164671,92279
K02000001,United Kingdom,overview,27/03/2022,20953393,164454,67948
K02000001,United Kingdom,overview,26/03/2022,20885445,164454,61224
K02000001,United Kingdom,overview,25/03/2022,20824221,164454,72257
K02000001,United Kingdom,overview,24/03/2022,20751964,164282,82677
K02000001,United Kingdom,overview,23/03/2022,20669287,164123,93980
K02000001,United Kingdom,overview,22/03/2022,20575307,163929,98937
K02000001,United Kingdom,overview,21/03/2022,20476370,163679,109224
K02000001,United Kingdom,overview,20/03/2022,20367146,163511,80587
K02000001,United Kingdom,overview,19/03/2022,20286559,163511,67202
K02000001,United Kingdom,overview,18/03/2022,20219357,163511,75191
K02000001,United Kingdom,overview,17/03/2022,20144166,163386,82728
K02000001,United Kingdom,overview,16/03/2022,20061438,163248,91446
K02000001,United Kingdom,overview,15/03/2022,19969992,163095,93455
K02000001,United Kingdom,overview,14/03/2022,19876537,162873,99673
K02000001,United Kingdom,overview,13/03/2022,19776864,162738,75621
K02000001,United Kingdom,overview,12/03/2022,19701243,162738,61975
K02000001,United Kingdom,overview,11/03/2022,19639268,162738,66938
K02000001,United Kingdom,overview,10/03/2022,19572330,162624,70397
K02000001,United Kingdom,overview,09/03/2022,19501933,162482,73418
K02000001,United Kingdom,overview,08/03/2022,19428515,162359,70009
K02000001,United Kingdom,overview,07/03/2022,19358506,162147,68451
K02000001,United Kingdom,overview,06/03/2022,19290055,162008,48973
K02000001,United Kingdom,overview,05/03/2022,19241082,162008,38714
K02000001,United Kingdom,overview,04/03/2022,19202368,162008,41353
K02000001,United Kingdom,overview,03/03/2022,19161015,161898,43696
K02000001,United Kingdom,overview,02/03/2022,19117319,161704,46126
K02000001,United Kingdom,overview,01/03/2022,19071193,161630,44725
K02000001,United Kingdom,overview,28/02/2022,19026468,161361,44590
K02000001,United Kingdom,overview,27/02/2022,18981878,161224,31337
K02000001,United Kingdom,overview,26/02/2022,18950541,161224,25054
K02000001,United Kingdom,overview,25/02/2022,18925487,161224,27798
K02000001,United Kingdom,overview,24/02/2022,18897689,161104,30583
K02000001,United Kingdom,overview,23/02/2022,18867106,160979,36434
K02000001,United Kingdom,overview,22/02/2022,18830672,160815,39108
K02000001,United Kingdom,overview,21/02/2022,18791564,160610,45081
K02000001,United Kingdom,overview,20/02/2022,18746483,160595,37660
K02000001,United Kingdom,overview,19/02/2022,18708823,160521,34637
K02000001,United Kingdom,overview,18/02/2022,18674186,160379,33212
K02000001,United Kingdom,overview,17/02/2022,18640974,160221,44664
K02000001,United Kingdom,overview,16/02/2022,18596310,160038,51515
K02000001,United Kingdom,overview,15/02/2022,18544795,159839,52460
K02000001,United Kingdom,overview,14/02/2022,18492335,159605,54692
K02000001,United Kingdom,overview,13/02/2022,18437643,159570,41745
K02000001,United Kingdom,overview,12/02/2022,18395898,159518,37448
K02000001,United Kingdom,overview,11/02/2022,18358450,159351,44531
K02000001,United Kingdom,overview,10/02/2022,18313919,159158,52248
K02000001,United Kingdom,overview,09/02/2022,18261671,158953,64265
K02000001,United Kingdom,overview,08/02/2022,18197406,158677,69604
K02000001,United Kingdom,overview,07/02/2022,18127802,158363,76441
K02000001,United Kingdom,overview,06/02/2022,18051361,158318,60517
K02000001,United Kingdom,overview,05/02/2022,17990844,158243,52270
K02000001,United Kingdom,overview,04/02/2022,17938574,157984,63157
K02000001,United Kingdom,overview,03/02/2022,17875417,157730,76566
K02000001,United Kingdom,overview,02/02/2022,17798851,157427,88372
K02000001,United Kingdom,overview,01/02/2022,17710479,156875,93729
K02000001,United Kingdom,overview,31/01/2022,17616750,155754,104887
K02000001,United Kingdom,overview,30/01/2022,17511863,155704,87514
K02000001,United Kingdom,overview,29/01/2022,17424349,155613,73464
K02000001,United Kingdom,overview,28/01/2022,17350885,155317,83986
K02000001,United Kingdom,overview,27/01/2022,17266899,155040,96137
K02000001,United Kingdom,overview,26/01/2022,17170762,154702,108634
K02000001,United Kingdom,overview,25/01/2022,17062128,154356,113113
K02000001,United Kingdom,overview,24/01/2022,16949015,153916,127238
K02000001,United Kingdom,overview,23/01/2022,16821777,153862,102307
K02000001,United Kingdom,overview,22/01/2022,16719470,153787,81643
K02000001,United Kingdom,overview,21/01/2022,16637827,153490,91506
K02000001,United Kingdom,overview,20/01/2022,16546321,153202,100225
K02000001,United Kingdom,overview,19/01/2022,16446096,152872,111647
K02000001,United Kingdom,overview,18/01/2022,16334449,152513,118669
K02000001,United Kingdom,overview,17/01/2022,16215780,152075,131379
K02000001,United Kingdom,overview,16/01/2022,16084401,151990,97995
K02000001,United Kingdom,overview,15/01/2022,15986406,151899,77860
K02000001,United Kingdom,overview,14/01/2022,15908546,151612,86222
K02000001,United Kingdom,overview,13/01/2022,15822324,151342,96303
K02000001,United Kingdom,overview,12/01/2022,15726021,151007,103139
K02000001,United Kingdom,overview,11/01/2022,15622882,150609,115174
K02000001,United Kingdom,overview,10/01/2022,15507708,150230,132664
K02000001,United Kingdom,overview,09/01/2022,15375044,150154,95689
K02000001,United Kingdom,overview,08/01/2022,15279355,150057,93550
K02000001,United Kingdom,overview,07/01/2022,15185805,149744,120234
K02000001,United Kingdom,overview,06/01/2022,15065571,149515,172864
K02000001,United Kingdom,overview,05/01/2022,14892707,149284,222090
K02000001,United Kingdom,overview,04/01/2022,14670617,148950,275594
K02000001,United Kingdom,overview,03/01/2022,14395023,148901,229823
K02000001,United Kingdom,overview,02/01/2022,14165200,148859,181017
K02000001,United Kingdom,overview,01/01/2022,13984183,148786,118179
K02000001,United Kingdom,overview,31/12/2021,13866004,148624,188506
K02000001,United Kingdom,overview,30/12/2021,13677498,148421,236538
K02000001,United Kingdom,overview,29/12/2021,13440960,148089,272740
K02000001,United Kingdom,overview,28/12/2021,13168220,148032,212418
K02000001,United Kingdom,overview,27/12/2021,12955802,148013,194967
K02000001,United Kingdom,overview,26/12/2021,12760835,147870,116258
K02000001,United Kingdom,overview,25/12/2021,12644577,147867,70355
K02000001,United Kingdom,overview,24/12/2021,12574222,147857,137258
K02000001,United Kingdom,overview,23/12/2021,12436964,147720,160620
K02000001,United Kingdom,overview,22/12/2021,12276344,147573,161528
K02000001,United Kingdom,overview,21/12/2021,12114816,147433,150268
K02000001,United Kingdom,overview,20/12/2021,11964548,147261,133941
K02000001,United Kingdom,overview,19/12/2021,11830607,147218,89125
K02000001,United Kingdom,overview,18/12/2021,11741482,147173,88875
K02000001,United Kingdom,overview,17/12/2021,11652607,147048,95865
K02000001,United Kingdom,overview,16/12/2021,11556742,146937,106035
K02000001,United Kingdom,overview,15/12/2021,11450707,146791,112671
K02000001,United Kingdom,overview,14/12/2021,11338036,146627,102753
K02000001,United Kingdom,overview,13/12/2021,11235283,146477,87151
K02000001,United Kingdom,overview,12/12/2021,11148132,146439,53139
K02000001,United Kingdom,overview,11/12/2021,11094993,146387,48590
K02000001,United Kingdom,overview,10/12/2021,11046403,146255,52476
K02000001,United Kingdom,overview,09/12/2021,10993927,146135,56978
K02000001,United Kingdom,overview,08/12/2021,10936949,145987,58788
K02000001,United Kingdom,overview,07/12/2021,10878161,145826,56228
K02000001,United Kingdom,overview,06/12/2021,10821933,145646,59664
K02000001,United Kingdom,overview,05/12/2021,10762269,145605,41013
K02000001,United Kingdom,overview,04/12/2021,10721256,145551,38779
K02000001,United Kingdom,overview,03/12/2021,10682477,145424,45659
K02000001,United Kingdom,overview,02/12/2021,10636818,145281,50302
K02000001,United Kingdom,overview,01/12/2021,10586516,145140,54808
K02000001,United Kingdom,overview,30/11/2021,10531708,144969,55685
K02000001,United Kingdom,overview,29/11/2021,10476023,144810,56283
K02000001,United Kingdom,overview,28/11/2021,10419740,144775,39692
K02000001,United Kingdom,overview,27/11/2021,10380048,144724,33290
K02000001,United Kingdom,overview,26/11/2021,10346758,144593,39324
K02000001,United Kingdom,overview,25/11/2021,10307434,144433,43409
K02000001,United Kingdom,overview,24/11/2021,10264025,144286,46759
K02000001,United Kingdom,overview,23/11/2021,10217266,144137,48181
K02000001,United Kingdom,overview,22/11/2021,10169085,143972,50721
K02000001,United Kingdom,overview,21/11/2021,10118364,143927,37245
K02000001,United Kingdom,overview,20/11/2021,10081119,143866,35327
K02000001,United Kingdom,overview,19/11/2021,10045792,143716,39588
K02000001,United Kingdom,overview,18/11/2021,10006204,143559,44051
K02000001,United Kingdom,overview,17/11/2021,9962153,143360,45888
K02000001,United Kingdom,overview,16/11/2021,9916265,143159,46418
K02000001,United Kingdom,overview,15/11/2021,9869847,142945,50945
K02000001,United Kingdom,overview,14/11/2021,9818902,142898,35505
K02000001,United Kingdom,overview,13/11/2021,9783397,142835,32879
K02000001,United Kingdom,overview,12/11/2021,9750518,142678,37758
K02000001,United Kingdom,overview,11/11/2021,9712760,142533,40986
K02000001,United Kingdom,overview,10/11/2021,9671774,142338,42926
K02000001,United Kingdom,overview,09/11/2021,9628848,142124,42237
K02000001,United Kingdom,overview,08/11/2021,9586611,141862,44121
K02000001,United Kingdom,overview,07/11/2021,9542490,141805,30582
K02000001,United Kingdom,overview,06/11/2021,9511908,141743,27430
K02000001,United Kingdom,overview,05/11/2021,9484478,141588,30313
K02000001,United Kingdom,overview,04/11/2021,9454165,141395,33652
K02000001,United Kingdom,overview,03/11/2021,9420513,141181,35972
K02000001,United Kingdom,overview,02/11/2021,9384541,140964,38007
K02000001,United Kingdom,overview,01/11/2021,9346534,140672,45102
K02000001,United Kingdom,overview,31/10/2021,9301432,140632,34794
K02000001,United Kingdom,overview,30/10/2021,9266638,140558,33556
K02000001,United Kingdom,overview,29/10/2021,9233082,140392,40239
K02000001,United Kingdom,overview,28/10/2021,9192843,140206,41374
K02000001,United Kingdom,overview,27/10/2021,9151469,140041,43035
K02000001,United Kingdom,overview,26/10/2021,9108434,139834,42109
K02000001,United Kingdom,overview,25/10/2021,9066325,139571,47447
K02000001,United Kingdom,overview,24/10/2021,9018878,139533,35756
K02000001,United Kingdom,overview,23/10/2021,8983122,139461,35096
K02000001,United Kingdom,overview,22/10/2021,8948026,139326,40657
K02000001,United Kingdom,overview,21/10/2021,8907369,139146,45193
K02000001,United Kingdom,overview,20/10/2021,8862176,139031,51650
K02000001,United Kingdom,overview,19/10/2021,8810526,138852,52511
K02000001,United Kingdom,overview,18/10/2021,8758015,138629,57728
K02000001,United Kingdom,overview,17/10/2021,8700287,138584,43747
K02000001,United Kingdom,overview,16/10/2021,8656540,138527,37872
K02000001,United Kingdom,overview,15/10/2021,8618668,138379,43546
K02000001,United Kingdom,overview,14/10/2021,8575122,138237,46411
K02000001,United Kingdom,overview,13/10/2021,8528711,138080,47765
K02000001,United Kingdom,overview,12/10/2021,8480946,137944,48298
K02000001,United Kingdom,overview,11/10/2021,8432648,137763,50285
K02000001,United Kingdom,overview,10/10/2021,8382363,137735,36406
K02000001,United Kingdom,overview,09/10/2021,8345957,137697,32296
K02000001,United Kingdom,overview,08/10/2021,8313661,137564,35597
K02000001,United Kingdom,overview,07/10/2021,8278064,137417,38462
K02000001,United Kingdom,overview,06/10/2021,8239602,137295,39255
K02000001,United Kingdom,overview,05/10/2021,8200347,137152,39263
K02000001,United Kingdom,overview,04/10/2021,8161084,136986,43727
K02000001,United Kingdom,overview,03/10/2021,8117357,136953,32051
K02000001,United Kingdom,overview,02/10/2021,8085306,136910,26309
K02000001,United Kingdom,overview,01/10/2021,8058997,136789,29050
